DATE,PRICE,ADDRESS,AREAS,BEDROOMS,PARKING-SPACES,BATHROOMS,CONDOMÍNIO,IPTU,TIPO
2021-08-05 16:34:21.436985-03:00,R$ 850.000,"Setor Bueno, Goiânia",122 m²,3,2,4,,,apartamentos
2021-08-05 16:34:21.437425-03:00,R$ 599.000,"Setor Bueno, Goiânia",112 m²,3,2,5,R$ 600,,apartamentos
2021-08-05 16:34:21.437915-03:00,R$ 370.000,"Alameda Imbé, Parque Amazônia",88 m²,3,2,2,R$ 350,R$ 500,apartamentos
2021-08-05 16:34:21.438381-03:00,R$ 420.000,"Rua Jaçanã, Parque Amazônia",96 m²,3,2,3,R$ 450,,apartamentos
2021-08-05 16:34:21.438807-03:00,R$ 130.000,"Rua Maceió, Parque Amazônia",54 m²,2,1,1,R$ 300,,apartamentos
2021-08-05 16:34:21.439270-03:00,R$ 475.000,"Setor Bueno, Goiânia",102 m²,3,1,3,,,apartamentos
2021-08-05 16:34:21.439649-03:00,R$ 2.200.000,"Setor Marista, Goiânia",286 m²,4,4,5,,,apartamentos
2021-08-05 16:34:21.439999-03:00,R$ 1.300.000,"Setor Bueno, Goiânia",166 m²,4,3,6,R$ 1.100,,apartamentos
2021-08-05 16:34:21.440443-03:00,R$ 3.700.000,"Setor Marista, Goiânia",362 m²,4,4,5,,,apartamentos
2021-08-05 16:34:21.440816-03:00,R$ 345.000,"Rua Uirapuru, Parque Amazônia",76 m²,3,2,2,,,apartamentos
2021-08-05 16:34:21.441150-03:00,R$ 310.000,"Vila Rosa, Goiânia",73 m²,3,2,4,,,apartamentos
2021-08-05 16:34:21.441745-03:00,R$ 410.000,"Rua K, Setor Oeste",63 m²,2,1,2,R$ 480,R$ 650,apartamentos
2021-08-05 16:34:21.442775-03:00,R$ 289.000,"Avenida Senador Péricles, Setor Negrão de Lima",75 m²,3,1,1,R$ 320,R$ 389,apartamentos
2021-08-05 16:34:21.443325-03:00,R$ 249.000,"Rua 262, Setor Leste Universitário",80 m²,3,1,1,R$ 300,R$ 328,apartamentos
2021-08-05 16:34:21.443823-03:00,R$ 349.000,"Setor Central, Goiânia",89 m²,3,1,3,R$ 560,R$ 741,apartamentos
2021-08-05 16:34:21.444304-03:00,R$ 520.500,"Setor Bueno, Goiânia",94 m²,1,2,3,R$ 460,R$ 1.100,apartamentos
2021-08-05 16:34:21.444772-03:00,R$ 338.000,"Avenida Pedro Paulo de Souza, Goiania 2",79 m²,3,2,2,R$ 300,R$ 700,apartamentos
2021-08-05 16:34:21.445249-03:00,R$ 287.765,"Avenida Terceira Radial, Setor Pedro Ludovico",63 m²,2,1,2,,,apartamentos
2021-08-05 16:34:21.445653-03:00,R$ 630.000,"Rua VV 8, Village Veneza",127 m²,3,2,4,,,apartamentos
2021-08-05 16:34:21.445992-03:00,R$ 420.000,"Avenida Assis Chateaubriand, Setor Oeste",148 m²,3,2,3,R$ 550,,apartamentos
2021-08-05 16:34:21.446409-03:00,R$ 514.869,"Rua C228, Jardim América",82 m²,3,2,3,,,apartamentos
2021-08-05 16:34:21.446767-03:00,R$ 229.000,"Vila Rosa, Goiânia",56 m²,2,1,2,R$ 250,,apartamentos
2021-08-05 16:34:21.447162-03:00,R$ 280.000,"Rua 84, Setor Sul",146 m²,3,1,3,R$ 400,,apartamentos
2021-08-05 16:34:21.447591-03:00,R$ 117.000,"Avenida Araguaia, Setor Central",38 m²,1,1,1,R$ 550,R$ 500,apartamentos
2021-08-05 16:34:21.448061-03:00,R$ 264.474,"Rua C 154, Jardim América",59 m²,2,1,1,R$ 220,,apartamentos
2021-08-05 16:34:21.448462-03:00,R$ 399.000,"Alto da Glória, Goiânia",95 m²,3,2,1,R$ 565,R$ 109,apartamentos
2021-08-05 16:34:21.448887-03:00,R$ 228.000,"Setor Bueno, Goiânia",39 m²,1,1,1,,,apartamentos
2021-08-05 16:34:21.449236-03:00,R$ 208.000,"Vila Rosa, Goiânia",56 m²,2,1,2,R$ 350,R$ 400,apartamentos
2021-08-05 16:34:21.449678-03:00,R$ 980.000,"Rua 25, Setor Marista",158 m²,3,3,5,R$ 700,R$ 110,apartamentos
2021-08-05 16:34:21.450130-03:00,R$ 390.000,"Rua VV 5, Village Veneza",89 m²,3,2,2,R$ 500,R$ 200,apartamentos
2021-08-05 16:34:21.450584-03:00,R$ 250.000,"Parque Amazônia, Goiânia",72 m²,3,1,2,R$ 400,,apartamentos
2021-08-05 16:34:21.451007-03:00,R$ 675.000,"Jardim Goiás, Goiânia",113 m²,3,3,1,R$ 667,,apartamentos
2021-08-05 16:34:21.451391-03:00,R$ 280.000,"Residencial Eldorado, Goiânia",69 m²,3,2,2,R$ 400,R$ 300,apartamentos
2021-08-05 16:34:21.451841-03:00,R$ 225.000,"Rua de Icarai, Jardim Atlântico",62 m²,2,1,1,R$ 400,,apartamentos
2021-08-05 16:34:21.452265-03:00,R$ 580.000,"Residencial Eldorado Expansao, Goiânia",100 m²,3,2,3,R$ 450,R$ 479,apartamentos
2021-08-05 16:34:21.452691-03:00,R$ 390.000,"Rua T 60, Setor Bueno",158 m²,3,1,2,R$ 600,R$ 1,apartamentos
2021-08-05 16:34:21.453115-03:00,R$ 313.000,"Rua Caapi, Parque Amazônia",64 m²,2,1,2,,,apartamentos
2021-08-05 16:34:21.453466-03:00,R$ 381.000,"Rua Caapi, Parque Amazônia",83 m²,3,1,2,,,apartamentos
2021-08-05 16:34:21.453895-03:00,R$ 539.000,"Avenida Olinda, Park Lozândes",105 m²,3,2,4,R$ 420,R$ 550,apartamentos
2021-08-05 16:34:21.454337-03:00,R$ 345.000,"São Francisco, Goiânia",80 m²,3,2,4,R$ 300,,apartamentos
2021-08-05 16:34:21.454779-03:00,R$ 198.000,"Rua T 64, Bela Vista",87 m²,2,1,1,,,apartamentos
2021-08-05 16:34:21.455107-03:00,R$ 525.000,"Rua T 48, Setor Bueno",108 m²,3,2,3,R$ 546,,apartamentos
2021-08-05 16:34:21.455514-03:00,R$ 239.000,"Setor Bueno, Goiânia",90 m²,3,1,2,R$ 550,,apartamentos
2021-08-05 16:34:21.455914-03:00,R$ 145.000,"Avenida Senador Péricles, Setor Negrão de Lima",58 m²,2,1,1,R$ 200,R$ 280,apartamentos
2021-08-05 16:34:21.456322-03:00,R$ 330.000,"Rua Cacauí, Parque Amazônia",79 m²,3,2,2,R$ 390,,apartamentos
2021-08-05 16:34:21.456710-03:00,R$ 285.000,"Rua Dona Isoleta, Vila Rosa",60 m²,2,1,2,R$ 300,,apartamentos
2021-08-05 16:34:21.457119-03:00,R$ 220.000,"Rua Gladiolo, Parque Oeste Industrial",54 m²,2,1,2,,,apartamentos
2021-08-05 16:34:21.457476-03:00,R$ 870.000,"Rua T 36, Setor Bueno",165 m²,3,3,5,R$ 800,,apartamentos
2021-08-05 16:34:21.457890-03:00,R$ 1.650.000,"Rua 1141, Setor Marista",230 m²,4,3,5,R$ 800,R$ 1.200,apartamentos
2021-08-05 16:34:21.458320-03:00,R$ 230.000,"Parque Amazônia, Goiânia",64 m²,2,1,2,R$ 250,,apartamentos
2021-08-05 16:34:21.458749-03:00,R$ 590.000,"Rua S 2, Setor Bela Vista",134 m²,4,2,3,R$ 1.000,,apartamentos
2021-08-05 16:34:21.459189-03:00,R$ 289.000,"Avenida dos Diamantes, Setor Recanto das Minas Gerais",91 m²,2,2,3,,,apartamentos
2021-08-05 16:34:21.459550-03:00,R$ 850.000,"Setor Bueno, Goiânia",122 m²,3,2,4,,,apartamentos
2021-08-05 16:34:21.459882-03:00,R$ 599.000,"Setor Bueno, Goiânia",112 m²,3,2,5,R$ 600,,apartamentos
2021-08-05 16:34:21.460300-03:00,R$ 370.000,"Alameda Imbé, Parque Amazônia",88 m²,3,2,2,R$ 350,R$ 500,apartamentos
2021-08-05 16:34:21.460727-03:00,R$ 420.000,"Rua Jaçanã, Parque Amazônia",96 m²,3,2,3,R$ 450,,apartamentos
2021-08-05 16:34:21.461179-03:00,R$ 130.000,"Rua Maceió, Parque Amazônia",54 m²,2,1,1,R$ 300,,apartamentos
2021-08-05 16:34:21.461578-03:00,R$ 475.000,"Setor Bueno, Goiânia",102 m²,3,1,3,,,apartamentos
2021-08-05 16:34:21.461917-03:00,R$ 2.200.000,"Setor Marista, Goiânia",286 m²,4,4,5,,,apartamentos
2021-08-05 16:34:21.462255-03:00,R$ 1.300.000,"Setor Bueno, Goiânia",166 m²,4,3,6,R$ 1.100,,apartamentos
2021-08-05 16:34:21.462680-03:00,R$ 3.700.000,"Setor Marista, Goiânia",362 m²,4,4,5,,,apartamentos
2021-08-05 16:34:21.463042-03:00,R$ 345.000,"Rua Uirapuru, Parque Amazônia",76 m²,3,2,2,,,apartamentos
2021-08-05 16:34:21.463371-03:00,R$ 310.000,"Vila Rosa, Goiânia",73 m²,3,2,4,,,apartamentos
2021-08-05 16:34:21.463709-03:00,R$ 775.000,"Rua T 48, Setor Bueno",155 m²,3,3,4,,,apartamentos
2021-08-05 16:34:21.464055-03:00,R$ 180.000,"Rua do Cobre, Parque Oeste Industrial",58 m²,2,1,1,R$ 350,,apartamentos
2021-08-05 16:34:21.464555-03:00,R$ 1.300.000,"Praça T 23, Setor Bueno",166 m²,4,3,4,R$ 850,R$ 1.900,apartamentos
2021-08-05 16:34:21.465030-03:00,R$ 170.000,"Rua 90, Setor Sul",72 m²,3,1,2,R$ 450,R$ 600,apartamentos
2021-08-05 16:34:21.465503-03:00,R$ 750.000,"Rua T 29, Setor Bueno",148 m²,4,2,4,R$ 500,,apartamentos
2021-08-05 16:34:21.465944-03:00,R$ 1.250.000,"Rua 11, Setor Oeste",242 m²,4,3,5,R$ 2.400,,apartamentos
2021-08-05 16:34:21.466332-03:00,R$ 165.000,"Rua do Mato, Setor Sul",43 m²,1,1,1,R$ 420,,apartamentos
2021-08-05 16:34:21.466726-03:00,R$ 285.000,"Vila Alpes, Goiânia",64 m²,2,1,2,R$ 230,,apartamentos
2021-08-05 16:34:21.467149-03:00,R$ 235.000,"Avenida Nápoli, Eldorado Parque",64 m²,2,2,2,R$ 290,,apartamentos
2021-08-05 16:34:21.467543-03:00,R$ 180.000,"Vila São Luiz, Goiânia",74 m²,3,1,2,R$ 300,R$ 400,apartamentos
2021-08-05 16:34:21.468018-03:00,R$ 399.000,"Rua 20, Setor Central",89 m²,3,2,2,R$ 600,,apartamentos
2021-08-05 16:34:21.468396-03:00,R$ 455.000,"Rua 1, Setor Oeste",156 m²,2,2,3,,,apartamentos
2021-08-05 16:34:21.468767-03:00,R$ 270.000,"Rua Marajó, Parque Amazônia",60 m²,2,1,2,R$ 303,,apartamentos
2021-08-05 16:34:21.469146-03:00,R$ 180.000,"Rua Dona Isoleta, Vila Rosa",60 m²,2,1,2,R$ 200,,apartamentos
2021-08-05 16:34:21.469926-03:00,R$ 300.000,"Rua 226, Setor Leste Universitário",64 m²,2,1,2,R$ 290,,apartamentos
2021-08-05 16:34:21.470475-03:00,R$ 620.000,"Rua T 30, Setor Bueno",100 m²,3,2,3,R$ 500,R$ 1.400,apartamentos
2021-08-05 16:34:21.470961-03:00,R$ 270.000,"Avenida Tocantins, Setor Aeroporto",131 m²,3,1,2,R$ 500,,apartamentos
2021-08-05 16:34:21.471423-03:00,R$ 420.000,"Residencial Porto Seguro, Goiânia",105 m²,3,2,3,R$ 590,,apartamentos
2021-08-05 16:34:21.471872-03:00,R$ 270.000,"Avenida Assis Chateaubriand, Oeste",110 m²,3,2,2,R$ 600,,apartamentos
2021-08-05 16:34:21.472279-03:00,R$ 317.800,"Avenida Pedro Paulo de Souza, Setor Goiânia 2",80 m²,3,2,2,R$ 320,R$ 400,apartamentos
2021-08-05 16:34:21.472740-03:00,R$ 235.000,"Rua 1031, Setor Pedro Ludovico",80 m²,3,1,2,R$ 500,R$ 700,apartamentos
2021-08-05 16:34:21.473175-03:00,R$ 409.072,"Avenida Terceira Radial, Setor Pedro Ludovico",76 m²,3,2,2,R$ 300,,apartamentos
2021-08-05 16:34:21.473909-03:00,R$ 650.000,"Avenida T 13, Setor Bueno",94 m²,3,2,3,R$ 480,,apartamentos
2021-08-05 16:34:21.474446-03:00,R$ 597.000,"Rua 143, Setor Marista",115 m²,3,2,3,,,apartamentos
2021-08-05 16:34:21.474843-03:00,R$ 315.000,"Avenida Assis Chateaubriand, Setor Oeste",150 m²,3,1,3,R$ 750,,apartamentos
2021-08-05 16:34:21.475313-03:00,R$ 775.000,"Setor Bueno, Goiânia",156 m²,3,3,5,,,apartamentos
2021-08-05 16:34:21.475698-03:00,R$ 1.450.000,"Rua 56, Jardim Goiás",170 m²,4,2,5,,,apartamentos
2021-08-05 16:34:21.476117-03:00,R$ 220.000,"Avenida Virgílio Joaquim Ferreira, Parque Flamboyant",75 m²,3,2,2,R$ 320,,apartamentos
2021-08-05 16:34:21.476549-03:00,R$ 220.000,"Avenida 85, Setor Bueno",89 m²,3,1,3,R$ 500,,apartamentos
2021-08-05 16:34:21.476964-03:00,R$ 483.586,"Rua 260, Setor Leste Universitário",83 m²,3,1,3,,,apartamentos
2021-08-05 16:34:21.477305-03:00,R$ 999.327,"Rua 1128, Setor Marista",149 m²,3,2,5,R$ 700,R$ 850,apartamentos
2021-08-05 16:34:21.477768-03:00,R$ 1.095.000,"Rua 1128, Setor Marista",162 m²,3,3,5,R$ 700,,apartamentos
2021-08-05 16:34:21.478160-03:00,R$ 840.000,"Rua T 51, Setor Bueno",133 m²,3,2,5,R$ 550,R$ 800,apartamentos
2021-08-05 16:34:21.478608-03:00,R$ 30.500,"Avenida Aristóteles, Jardim Mariliza",52 m²,2,1,1,,,apartamentos
2021-08-05 16:34:21.478960-03:00,R$ 810.000,"Rua 1124, Setor Marista",125 m²,3,2,5,R$ 500,R$ 1.500,apartamentos
2021-08-05 16:34:21.479373-03:00,R$ 450.000,"Rua C38, Jardim América",89 m²,3,2,4,R$ 540,R$ 960,apartamentos
2021-08-05 16:34:21.479831-03:00,R$ 380.000,"Setor Bela Vista, Goiânia",92 m²,4,2,3,,,apartamentos
2021-08-05 16:34:21.480173-03:00,R$ 450.000,"Avenida T 15, Setor Bueno",98 m²,3,2,5,R$ 450,R$ 900,apartamentos
2021-08-05 16:34:21.480605-03:00,R$ 455.000,"Avenida Copacabana, Jardim Atlântico",94 m²,3,2,3,R$ 350,R$ 1.000,apartamentos
2021-08-05 16:34:21.481033-03:00,R$ 760.500,"Rua T 30, Setor Bueno",125 m²,3,2,5,R$ 550,,apartamentos
2021-08-05 16:34:21.481432-03:00,R$ 1.700.000,"Rua C238, Setor Bueno",258 m²,4,4,6,R$ 1.100,,apartamentos
2021-08-05 16:34:21.481825-03:00,R$ 239.000,"Setor Faiçalville, Goiânia",62 m²,2,1,2,,,apartamentos
2021-08-05 16:34:21.482172-03:00,R$ 670.000,"Rua do Parque, Jardim Atlântico",106 m²,3,2,3,,,apartamentos
2021-08-05 16:34:21.482563-03:00,R$ 249.000,"Rua MDV 24, Moinho dos Ventos",83 m²,3,1,2,R$ 150,R$ 150,apartamentos
2021-08-05 16:34:21.482995-03:00,R$ 169.000,"Avenida Bela Vista, Parque Acalanto",65 m²,2,,1,R$ 220,R$ 300,apartamentos
2021-08-05 16:34:21.483420-03:00,R$ 635.000,"Avenida Copacabana, Jardim Atlântico",116 m²,3,2,4,,,apartamentos
2021-08-05 16:34:21.483753-03:00,R$ 470.000,"Avenida Trieste, Village Veneza",112 m²,4,2,4,,,apartamentos
2021-08-05 16:34:21.484080-03:00,R$ 779.999,"Rua T 27, Setor Bueno",151 m²,3,2,4,R$ 509,R$ 1.299,apartamentos
2021-08-05 16:34:21.484502-03:00,R$ 775.000,"Rua T 48, Setor Bueno",155 m²,3,3,4,,,apartamentos
2021-08-05 16:34:21.484857-03:00,R$ 180.000,"Rua do Cobre, Parque Oeste Industrial",58 m²,2,1,1,R$ 350,,apartamentos
2021-08-05 16:34:21.485244-03:00,R$ 1.300.000,"Praça T 23, Setor Bueno",166 m²,4,3,4,R$ 850,R$ 1.900,apartamentos
2021-08-05 16:34:21.485670-03:00,R$ 170.000,"Rua 90, Setor Sul",72 m²,3,1,2,R$ 450,R$ 600,apartamentos
2021-08-05 16:34:21.486093-03:00,R$ 750.000,"Rua T 29, Setor Bueno",148 m²,4,2,4,R$ 500,,apartamentos
2021-08-05 16:34:21.486545-03:00,R$ 1.250.000,"Rua 11, Setor Oeste",242 m²,4,3,5,R$ 2.400,,apartamentos
2021-08-05 16:34:21.486943-03:00,R$ 165.000,"Rua do Mato, Setor Sul",43 m²,1,1,1,R$ 420,,apartamentos
2021-08-05 16:34:21.487330-03:00,R$ 285.000,"Vila Alpes, Goiânia",64 m²,2,1,2,R$ 230,,apartamentos
2021-08-05 16:34:21.487761-03:00,R$ 235.000,"Avenida Nápoli, Eldorado Parque",64 m²,2,2,2,R$ 290,,apartamentos
2021-08-05 16:34:21.488174-03:00,R$ 180.000,"Vila São Luiz, Goiânia",74 m²,3,1,2,R$ 300,R$ 400,apartamentos
2021-08-05 16:34:21.488616-03:00,R$ 399.000,"Rua 20, Setor Central",89 m²,3,2,2,R$ 600,,apartamentos
2021-08-05 16:34:21.488993-03:00,R$ 455.000,"Rua 1, Setor Oeste",156 m²,2,2,3,,,apartamentos
2021-08-05 16:34:21.489329-03:00,R$ 270.000,"Rua Marajó, Parque Amazônia",60 m²,2,1,2,R$ 303,,apartamentos
2021-08-05 16:34:21.489725-03:00,R$ 180.000,"Rua Dona Isoleta, Vila Rosa",60 m²,2,1,2,R$ 200,,apartamentos
2021-08-05 16:34:21.490113-03:00,R$ 300.000,"Rua 226, Setor Leste Universitário",64 m²,2,1,2,R$ 290,,apartamentos
2021-08-05 16:34:21.490509-03:00,R$ 620.000,"Rua T 30, Setor Bueno",100 m²,3,2,3,R$ 500,R$ 1.400,apartamentos
2021-08-05 16:34:21.490937-03:00,R$ 270.000,"Avenida Tocantins, Setor Aeroporto",131 m²,3,1,2,R$ 500,,apartamentos
2021-08-05 16:34:21.491337-03:00,R$ 420.000,"Residencial Porto Seguro, Goiânia",105 m²,3,2,3,R$ 590,,apartamentos
2021-08-05 16:34:21.491726-03:00,R$ 270.000,"Avenida Assis Chateaubriand, Oeste",110 m²,3,2,2,R$ 600,,apartamentos
2021-08-05 16:34:21.492113-03:00,R$ 317.800,"Avenida Pedro Paulo de Souza, Setor Goiânia 2",80 m²,3,2,2,R$ 320,R$ 400,apartamentos
2021-08-05 16:34:21.492532-03:00,R$ 235.000,"Rua 1031, Setor Pedro Ludovico",80 m²,3,1,2,R$ 500,R$ 700,apartamentos
2021-08-05 16:34:21.492946-03:00,R$ 409.072,"Avenida Terceira Radial, Setor Pedro Ludovico",76 m²,3,2,2,R$ 300,,apartamentos
2021-08-05 16:34:21.493353-03:00,R$ 650.000,"Avenida T 13, Setor Bueno",94 m²,3,2,3,R$ 480,,apartamentos
2021-08-05 16:34:21.493755-03:00,R$ 597.000,"Rua 143, Setor Marista",115 m²,3,2,3,,,apartamentos
2021-08-05 16:34:21.494095-03:00,R$ 315.000,"Avenida Assis Chateaubriand, Setor Oeste",150 m²,3,1,3,R$ 750,,apartamentos
2021-08-05 16:34:21.494509-03:00,R$ 775.000,"Setor Bueno, Goiânia",156 m²,3,3,5,,,apartamentos
2021-08-05 16:34:21.494848-03:00,R$ 1.450.000,"Rua 56, Jardim Goiás",170 m²,4,2,5,,,apartamentos
2021-08-05 16:34:21.495185-03:00,R$ 220.000,"Avenida Virgílio Joaquim Ferreira, Parque Flamboyant",75 m²,3,2,2,R$ 320,,apartamentos
2021-08-05 16:34:21.495570-03:00,R$ 220.000,"Avenida 85, Setor Bueno",89 m²,3,1,3,R$ 500,,apartamentos
2021-08-05 16:34:21.495950-03:00,R$ 483.586,"Rua 260, Setor Leste Universitário",83 m²,3,1,3,,,apartamentos
2021-08-05 16:34:21.496297-03:00,R$ 999.327,"Rua 1128, Setor Marista",149 m²,3,2,5,R$ 700,R$ 850,apartamentos
2021-08-05 16:34:21.496830-03:00,R$ 1.095.000,"Rua 1128, Setor Marista",162 m²,3,3,5,R$ 700,,apartamentos
2021-08-05 16:34:21.497214-03:00,R$ 840.000,"Rua T 51, Setor Bueno",133 m²,3,2,5,R$ 550,R$ 800,apartamentos
2021-08-05 16:34:21.497638-03:00,R$ 30.500,"Avenida Aristóteles, Jardim Mariliza",52 m²,2,1,1,,,apartamentos
2021-08-05 16:34:21.497976-03:00,R$ 810.000,"Rua 1124, Setor Marista",125 m²,3,2,5,R$ 500,R$ 1.500,apartamentos
2021-08-05 16:34:21.498390-03:00,R$ 450.000,"Rua C38, Jardim América",89 m²,3,2,4,R$ 540,R$ 960,apartamentos
2021-08-05 16:34:21.498904-03:00,R$ 380.000,"Setor Bela Vista, Goiânia",92 m²,4,2,3,,,apartamentos
2021-08-05 16:34:21.499241-03:00,R$ 450.000,"Avenida T 15, Setor Bueno",98 m²,3,2,5,R$ 450,R$ 900,apartamentos
2021-08-05 16:34:21.500864-03:00,R$ 455.000,"Avenida Copacabana, Jardim Atlântico",94 m²,3,2,3,R$ 350,R$ 1.000,apartamentos
2021-08-05 16:34:21.501586-03:00,R$ 760.500,"Rua T 30, Setor Bueno",125 m²,3,2,5,R$ 550,,apartamentos
2021-08-05 16:34:21.502044-03:00,R$ 1.700.000,"Rua C238, Setor Bueno",258 m²,4,4,6,R$ 1.100,,apartamentos
2021-08-05 16:34:21.502479-03:00,R$ 239.000,"Setor Faiçalville, Goiânia",62 m²,2,1,2,,,apartamentos
2021-08-05 16:34:21.502863-03:00,R$ 670.000,"Rua do Parque, Jardim Atlântico",106 m²,3,2,3,,,apartamentos
2021-08-05 16:34:21.503299-03:00,R$ 249.000,"Rua MDV 24, Moinho dos Ventos",83 m²,3,1,2,R$ 150,R$ 150,apartamentos
2021-08-05 16:34:21.503772-03:00,R$ 169.000,"Avenida Bela Vista, Parque Acalanto",65 m²,2,,1,R$ 220,R$ 300,apartamentos
2021-08-05 16:34:21.504247-03:00,R$ 635.000,"Avenida Copacabana, Jardim Atlântico",116 m²,3,2,4,,,apartamentos
2021-08-05 16:34:21.504685-03:00,R$ 470.000,"Avenida Trieste, Village Veneza",112 m²,4,2,4,,,apartamentos
2021-08-05 16:34:21.505055-03:00,R$ 779.999,"Rua T 27, Setor Bueno",151 m²,3,2,4,R$ 509,R$ 1.299,apartamentos
2021-08-05 16:34:21.505514-03:00,R$ 999.999,"Rua 24, Setor Marista",160 m²,3,3,5,R$ 499,R$ 1.105,apartamentos
2021-08-05 16:34:21.506150-03:00,R$ 322.000,"Setor Oeste, Goiânia",67 m²,2,1,2,R$ 350,,apartamentos
2021-08-05 16:34:21.506636-03:00,R$ 3.995.068,"Avenida T 5, Setor Bueno",398 m²,4,4,5,R$ 1.700,R$ 3.000,apartamentos
2021-08-05 16:34:21.507076-03:00,R$ 1.269.000,"Rua 1141, Setor Marista",177 m²,3,3,3,R$ 650,R$ 2.500,apartamentos
2021-08-05 16:34:21.507520-03:00,R$ 315.000,"Avenida Assis Chateaubriand, Setor Oeste",150 m²,3,1,3,R$ 750,,apartamentos
2021-08-05 16:34:21.507934-03:00,R$ 775.000,"Setor Bueno, Goiânia",156 m²,3,3,5,,,apartamentos
2021-08-05 16:34:21.508275-03:00,R$ 1.450.000,"Rua 56, Jardim Goiás",170 m²,4,2,5,,,apartamentos
2021-08-05 16:34:21.508626-03:00,R$ 220.000,"Avenida Virgílio Joaquim Ferreira, Parque Flamboyant",75 m²,3,2,2,R$ 320,,apartamentos
2021-08-05 16:34:21.509007-03:00,R$ 220.000,"Avenida 85, Setor Bueno",89 m²,3,1,3,R$ 500,,apartamentos
2021-08-05 16:34:21.509410-03:00,R$ 483.586,"Rua 260, Setor Leste Universitário",83 m²,3,1,3,,,apartamentos
2021-08-05 16:34:21.509751-03:00,R$ 999.327,"Rua 1128, Setor Marista",149 m²,3,2,5,R$ 700,R$ 850,apartamentos
2021-08-05 16:34:21.510195-03:00,R$ 1.095.000,"Rua 1128, Setor Marista",162 m²,3,3,5,R$ 700,,apartamentos
2021-08-05 16:34:21.510599-03:00,R$ 840.000,"Rua T 51, Setor Bueno",133 m²,3,2,5,R$ 550,R$ 800,apartamentos
2021-08-05 16:34:21.511024-03:00,R$ 30.500,"Avenida Aristóteles, Jardim Mariliza",52 m²,2,1,1,,,apartamentos
2021-08-05 16:34:21.511357-03:00,R$ 810.000,"Rua 1124, Setor Marista",125 m²,3,2,5,R$ 500,R$ 1.500,apartamentos
2021-08-05 16:34:21.511796-03:00,R$ 450.000,"Rua C38, Jardim América",89 m²,3,2,4,R$ 540,R$ 960,apartamentos
2021-08-05 16:34:21.512232-03:00,R$ 380.000,"Setor Bela Vista, Goiânia",92 m²,4,2,3,,,apartamentos
2021-08-05 16:34:21.512628-03:00,R$ 450.000,"Avenida T 15, Setor Bueno",98 m²,3,2,5,R$ 450,R$ 900,apartamentos
2021-08-05 16:34:21.513059-03:00,R$ 455.000,"Avenida Copacabana, Jardim Atlântico",94 m²,3,2,3,R$ 350,R$ 1.000,apartamentos
2021-08-05 16:34:21.513510-03:00,R$ 760.500,"Rua T 30, Setor Bueno",125 m²,3,2,5,R$ 550,,apartamentos
